Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,Golden State Warriors,22,5305,928,1882,.493,297,679,.437,631,1203,.525,379,507,.748,237,779,1016,636,181,144,351,474,2532,115.1
2,Oklahoma City Thunder,20,4850,802,1726,.465,158,447,.353,644,1279,.504,391,497,.787,259,706,965,424,154,140,340,433,2153,107.7
3,Phoenix Suns,22,5305,867,1926,.450,225,577,.390,642,1349,.476,362,484,.748,237,736,973,449,198,88,373,467,2321,105.5
4,Sacramento Kings,22,5305,863,1922,.449,186,504,.369,677,1418,.477,393,543,.724,253,726,979,529,184,89,362,473,2305,104.8
5,Indiana Pacers,19,4585,707,1602,.441,182,454,.401,525,1148,.457,366,489,.748,205,629,834,392,174,82,292,380,1962,103.3
6,Boston Celtics,21,5040,804,1839,.437,198,594,.333,606,1245,.487,360,460,.783,249,667,916,517,234,98,336,457,2166,103.1
7,Los Angeles Clippers,21,5040,786,1715,.458,159,488,.326,627,1227,.511,434,640,.678,204,688,892,464,146,118,288,470,2165,103.1
8,Houston Rockets,21,5115,748,1760,.425,209,646,.324,539,1114,.484,456,625,.730,249,672,921,429,208,121,349,460,2161,102.9
9,Charlotte Hornets,20,4825,747,1692,.441,190,545,.349,557,1147,.486,363,475,.764,179,705,884,429,145,119,248,351,2047,102.4
10,New Orleans Pelicans,21,5065,793,1801,.440,180,529,.340,613,1272,.482,372,473,.786,191,696,887,458,150,102,296,465,2138,101.8
11,Orlando Magic,20,4900,779,1787,.436,163,466,.350,616,1321,.466,311,401,.776,243,688,931,447,160,118,291,442,2032,101.6
12,Portland Trail Blazers,22,5330,827,1860,.445,211,594,.355,616,1266,.487,367,499,.735,248,759,1007,454,143,99,342,495,2232,101.5
13,Atlanta Hawks,22,5280,829,1824,.454,207,587,.353,622,1237,.503,368,458,.803,201,718,919,556,205,122,329,389,2233,101.5
14,Cleveland Cavaliers,20,4875,748,1666,.449,199,565,.352,549,1101,.499,334,465,.718,213,704,917,457,121,78,296,417,2029,101.5
15,Dallas Mavericks,22,5305,812,1824,.445,191,586,.326,621,1238,.502,416,532,.782,185,786,971,480,157,82,303,446,2231,101.4
16,Minnesota Timberwolves,20,4850,731,1646,.444,108,329,.328,623,1317,.473,452,562,.804,197,700,897,406,141,96,305,457,2022,101.1
17,Washington Wizards,19,4560,701,1584,.443,161,462,.348,540,1122,.481,354,470,.753,177,603,780,418,171,68,311,386,1917,100.9
18,Toronto Raptors,22,5280,785,1795,.437,175,492,.356,610,1303,.468,470,590,.797,234,738,972,398,194,87,308,434,2215,100.7
19,San Antonio Spurs,22,5280,871,1831,.476,151,413,.366,720,1418,.508,311,402,.774,206,820,1026,553,178,135,309,373,2204,100.2
20,Chicago Bulls,18,4370,668,1578,.423,148,397,.373,520,1181,.440,295,393,.751,185,685,870,411,118,110,259,356,1779,98.8
21,Detroit Pistons,22,5330,810,1938,.418,182,573,.318,628,1365,.460,361,553,.653,301,745,1046,397,185,68,313,410,2163,98.3
22,Utah Jazz,18,4345,647,1469,.440,133,367,.362,514,1102,.466,325,437,.744,210,564,774,325,161,100,275,405,1752,97.3
23,Denver Nuggets,21,5040,756,1768,.428,163,486,.335,593,1282,.463,366,485,.755,237,689,926,464,152,103,325,426,2041,97.2
24,New York Knicks,22,5305,791,1867,.424,164,492,.333,627,1375,.456,393,482,.815,237,739,976,439,139,124,316,489,2139,97.2
25,Miami Heat,19,4560,689,1489,.463,114,362,.315,575,1127,.510,347,482,.720,171,655,826,379,127,144,269,354,1839,96.8
26,Los Angeles Lakers,21,5040,726,1781,.408,170,531,.320,556,1250,.445,401,509,.788,215,700,915,375,152,102,306,434,2023,96.3
27,Memphis Grizzlies,21,5040,731,1728,.423,113,367,.308,618,1361,.454,448,536,.836,213,652,865,437,184,84,287,464,2023,96.3
28,Brooklyn Nets,20,4825,765,1734,.441,93,314,.296,672,1420,.473,288,383,.752,219,684,903,409,167,89,300,369,1911,95.6
29,Milwaukee Bucks,22,5330,787,1768,.445,146,407,.359,641,1361,.471,381,485,.786,214,669,883,504,167,113,340,505,2101,95.5
30,Philadelphia 76ers,22,5280,737,1774,.415,192,588,.327,545,1186,.460,331,478,.692,202,719,921,413,182,149,405,482,1997,90.8
