,year,Team,3PAPG,3PA,3P,3P%
0,1990,Golden State Warriors,9.146341463414634,750,243,0.324
1,1990,Phoenix Suns,6.621951219512195,543,176,0.324
2,1990,Denver Nuggets,8.25609756097561,677,228,0.337
3,1990,Portland Trail Blazers,6.890243902439025,565,190,0.336
4,1990,Orlando Magic,4.7926829268292686,393,116,0.295
5,1990,Los Angeles Lakers,10.25609756097561,841,309,0.36700000000000005
6,1990,Philadelphia 76ers,6.621951219512195,543,189,0.348
7,1990,Boston Celtics,4.926829268292683,404,106,0.262
8,1990,Chicago Bulls,8.158536585365853,669,250,0.374
9,1990,Indiana Pacers,9.390243902439025,770,294,0.382
10,1990,Atlanta Hawks,5.012195121951219,411,124,0.302
11,1990,New York Knicks,8.658536585365853,710,236,0.332
12,1990,Washington Wizards,2.402439024390244,197,37,0.188
13,1990,Oklahoma City Thunder,7.926829268292683,650,231,0.355
14,1990,Utah Jazz,7.682926829268292,630,226,0.359
15,1990,Houston Rockets,5.987804878048781,491,153,0.312
16,1990,San Antonio Spurs,2.7560975609756095,226,54,0.239
17,1990,Milwaukee Bucks,8.170731707317072,670,209,0.312
18,1990,Detroit Pistons,6.597560975609756,541,177,0.327
19,1990,Los Angeles Clippers,2.8048780487804876,230,56,0.243
20,1990,Cleveland Cavaliers,10.378048780487806,851,346,0.40700000000000003
21,1990,Dallas Mavericks,5.926829268292683,486,157,0.32299999999999995
22,1990,Sacramento Kings,7.914634146341464,649,216,0.33299999999999996
23,1990,Miami Heat,3.658536585365854,300,88,0.293
24,1990,Charlotte Hornets,7.451219512195122,611,205,0.336
25,1990,Brooklyn Nets,6.170731707317073,506,140,0.27699999999999997
26,1990,Minnesota Timberwolves,3.5853658536585367,294,73,0.248
27,1990,League Average,6.597560975609756,541,179,0.331
0,1991,Denver Nuggets,12.914634146341463,1059,300,0.28300000000000003
1,1991,Golden State Warriors,9.768292682926829,801,270,0.337
2,1991,Portland Trail Blazers,11.024390243902438,904,341,0.377
3,1991,Phoenix Suns,5.2682926829268295,432,138,0.319
4,1991,Indiana Pacers,9.134146341463415,749,249,0.332
5,1991,Boston Celtics,4.219512195121951,346,109,0.315
6,1991,Chicago Bulls,5.170731707317073,424,155,0.366
7,1991,Atlanta Hawks,10.195121951219512,836,271,0.324
8,1991,San Antonio Spurs,3.6219512195121952,297,81,0.273
9,1991,Houston Rockets,12.060975609756097,989,316,0.32
10,1991,Oklahoma City Thunder,5.2073170731707314,427,136,0.319
11,1991,Milwaukee Bucks,9.182926829268293,753,257,0.341
12,1991,Los Angeles Lakers,9.073170731707316,744,226,0.304
13,1991,Orlando Magic,9.195121951219512,754,270,0.358
14,1991,Philadelphia 76ers,7.536585365853658,618,195,0.316
15,1991,Utah Jazz,5.585365853658536,458,148,0.32299999999999995
16,1991,Los Angeles Clippers,5.2926829268292686,434,113,0.26
17,1991,New York Knicks,6.804878048780488,558,185,0.332
18,1991,Brooklyn Nets,7.146341463414634,586,161,0.275
19,1991,Charlotte Hornets,5.085365853658536,417,131,0.314
20,1991,Miami Heat,5.658536585365853,464,140,0.302
21,1991,Cleveland Cavaliers,5.841463414634147,479,160,0.33399999999999996
22,1991,Washington Wizards,3.4634146341463414,284,55,0.19399999999999998
23,1991,Detroit Pistons,5.365853658536586,440,131,0.298
24,1991,Dallas Mavericks,7.317073170731708,600,193,0.322
25,1991,Minnesota Timberwolves,4.646341463414634,381,108,0.28300000000000003
26,1991,Sacramento Kings,7.048780487804878,578,216,0.374
27,1991,League Average,7.146341463414634,586,187,0.32
0,1992,Golden State Warriors,9.304878048780488,763,254,0.33299999999999996
1,1992,Indiana Pacers,11.463414634146341,940,333,0.354
2,1992,Phoenix Suns,7.2682926829268295,596,227,0.381
3,1992,Portland Trail Blazers,11.512195121951219,944,325,0.344
4,1992,Chicago Bulls,5.536585365853658,454,138,0.304
5,1992,Charlotte Hornets,4.5,369,117,0.317
6,1992,Cleveland Cavaliers,8.634146341463415,708,253,0.35700000000000004
7,1992,Utah Jazz,5.585365853658536,458,158,0.345
8,1992,Boston Celtics,4.378048780487805,359,110,0.306
9,1992,Oklahoma City Thunder,7.890243902439025,647,205,0.317
10,1992,Atlanta Hawks,8.182926829268293,671,210,0.313
11,1992,Brooklyn Nets,8.170731707317072,670,224,0.33399999999999996
12,1992,Milwaukee Bucks,12.25609756097561,1005,371,0.369
13,1992,Miami Heat,9.158536585365853,751,257,0.342
14,1992,Sacramento Kings,8.231707317073171,675,238,0.353
15,1992,San Antonio Spurs,4.926829268292683,404,118,0.292
16,1992,Los Angeles Clippers,6.121951219512195,502,145,0.289
17,1992,Washington Wizards,6.548780487804878,537,146,0.272
18,1992,Houston Rockets,11.695121951219512,959,329,0.34299999999999997
19,1992,Philadelphia 76ers,8.292682926829269,680,227,0.33399999999999996
20,1992,Orlando Magic,7.414634146341464,608,197,0.324
21,1992,New York Knicks,7.536585365853658,618,201,0.325
22,1992,Minnesota Timberwolves,4.804878048780488,394,126,0.32
23,1992,Los Angeles Lakers,5.426829268292683,445,119,0.267
24,1992,Denver Nuggets,5.097560975609756,418,126,0.301
25,1992,Detroit Pistons,6.414634146341464,526,165,0.314
26,1992,Dallas Mavericks,9.71951219512195,797,268,0.336
27,1992,League Average,7.634146341463414,626,207,0.331
0,1993,Phoenix Suns,13.353658536585366,1095,398,0.363
1,1993,Charlotte Hornets,6.548780487804878,537,175,0.326
2,1993,Golden State Warriors,10.390243902439025,852,298,0.35
3,1993,Portland Trail Blazers,10.28048780487805,843,275,0.326
4,1993,Oklahoma City Thunder,7.439024390243903,610,218,0.35700000000000004
5,1993,Sacramento Kings,9.609756097560975,788,262,0.332
6,1993,Indiana Pacers,9.621951219512194,789,257,0.326
7,1993,Cleveland Cavaliers,9.048780487804878,742,283,0.381
8,1993,Atlanta Hawks,13.121951219512194,1076,382,0.355
